"","X","number","variety","inoculant","salt","replicate","trial","shoots","total_abund","tot_mf","tot_16s","tot_its","tot_oom","rel_amf","rel_16s","rel_its","rel_oom","shoot_score","Microbial_Abundance_Score","bfr","log_bfr","log_tot_fun","all_bfr","log_all_bfr","FB","amfb","itsb","log_amf","log_its","log_16s","log_shoots","log_oom","amfoom"
"1",1,42,"A","NOK NS","0 dS/m",2,2,3.1856,26039.36,5635.1,36975.34,1778.37,138.22,21.64070085,70.9989416,6.829545734,0.530811817,0.575974543,0.49761809,20.79170251,1.317890053,23.2565652982024,4.98758880794014,2.31834252988319,0.200497683050379,0.152401573589317,0.0480961094610624,8.63677017254534,7.48345249341189,10.518006482939,1.15864065432779,4.92884661866325,0.0245284023353623
"2",2,43,"A","NOK NS","0 dS/m",3,2,3.9198,38092.7,9740.12,30521.08,12979.8,112.24,25.56951857,40.0615866,34.0742452,0.294649631,0.708722066,0.734665281,2.351429144,0.371331897,26.9137043645448,1.34336212451452,0.42584825846574,0.744400918971412,0.319127632442889,0.425273286528524,9.18400871688923,9.47114958181888,10.326172871404,1.36604063209262,4.72063943579421,0.0115234719900782
"3",3,44,"A","NOK NS","0 dS/m",4,2,4.3533,21219.66,3659.75,28106.86,3447.63,58.85,17.24697757,66.22834673,16.24733855,0.277337149,0.787101323,0.402831388,8.152516366,0.911291679,23.5889186222815,3.95460211779868,1.9835325489194,0.252869939936371,0.130208425985685,0.122661513950687,8.20515011805152,8.14544231744092,10.2437689536413,1.47093417818302,4.07499183370629,0.0160803333561036
"4",4,47,"A","NOK NS","6 dS/m",2,2,2.9403,7800.45,2406.21,10717.34,15.07,20.5,30.84706652,68.69693415,0.193193982,0.262805351,0.531622912,0.138922295,711.1705375,2.851973756,15.1461543545177,4.42631170290094,2.14610504996298,0.22592173057867,0.224515598086839,0.001406132491831,7.7858081745213,2.7127060126384,9.27961826950602,1.07851161696111,3.02042488614436,0.00851962214436811
"5",5,48,"A","NOK NS","6 dS/m",3,2,2.966,19626.49,2523.68,33085.32,483.22,76.93,12.85853966,84.28740952,2.462080586,0.39197024,0.536269617,0.371499287,68.46844088,1.835490438,20.2178496317489,11.0031327945725,3.45984243897516,0.0908832074164614,0.076277938372668,0.0146052690437934,7.83347343273916,6.18047203649251,10.4068449584562,1.08721424371574,4.34289591747084,0.0304832625372472
"6",6,50,"A","NOK NS","6 dS/m",5,2,3.0039,29588.2,10515.42,34481.8,1661.35,170.53,35.53923524,58.26951285,5.614907294,0.576344624,0.543122152,0.567411405,20.75528937,1.317128793,24.0583591794429,2.8317690159213,1.50170359127703,0.353136147184892,0.304955657767286,0.0481804894176058,9.26059803027776,7.41538580385159,10.4481869275914,1.09991144439973,5.13891123432482,0.016217136357844
"7",7,53,"A","NOK NS","12 dS/m",3,2,0.8512,15649.13,1162.92,28394,254.59,34.62,7.431211831,90.72069821,1.626863602,0.221226356,0.153901786,0.293278477,111.5283397,2.047385237,18.1755680812426,20.0308992529153,4.32415528481481,0.0499228710290907,0.0409565401141086,0.00896633091498204,7.05868936253446,5.53965440805421,10.2539331342235,-0.161108160394757,3.54443154974806,0.0297698895882778
"8",8,54,"A","NOK NS","12 dS/m",4,2,0.8518,41469.84,16866.86,29234.38,9867.09,118.7,40.67259483,35.24776078,23.79341227,0.286232115,0.15401027,0.801081855,2.962816798,0.471704798,27.310312753244,1.09353013677365,0.128992980399523,0.914469538946952,0.576952889029971,0.337516649916981,9.73310602899235,9.19696025612904,10.2831006929281,-0.160403521493024,4.77659930161562,0.00703746874047689
"9",9,55,"A","NOK NS","12 dS/m",5,2,0.6036,22020.55,5586.68,28591.98,2020.73,117.15,25.37030183,64.92113049,9.176564618,0.532003061,0.109134302,0.418582103,14.14933217,1.150735942,23.4284363244916,3.75843815437843,1.91013326428361,0.266067967311113,0.195393253632662,0.0706747136784511,8.62814047199996,7.61121411124962,10.2608815379026,-0.504843552088443,4.7634551649538,0.02096952035914
"10",10,61,"A","SLK S","0 dS/m",1,2,3.6853,24399.36,4697.12,37570.24,840.07,77.05,19.25099675,76.99021614,3.443000144,0.315786971,0.666323136,0.465365006,44.72274929,1.650528494,21.9119264733243,6.7850732952996,2.76236440034481,0.147382343045985,0.125022358121747,0.0223599849242379,8.45470483392291,6.73348522169866,10.5339675266232,1.30435193345378,4.34445456176612,0.0164036686309909
