number,variety,inoculant,salt,replicate,trial,shoots,total_abund,tot_mf,tot_16s,tot_its,tot_oom,rel_amf,rel_16s,rel_its,rel_oom,shoot_score,Microbial_Abundance_Score
2,A,Control,S1,2,2,3.1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5625587618427714,NA
3,A,Control,S1,3,2,4.6353,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8380885224560642,NA
4,A,Control,S1,4,2,3.7568,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6792507413032473,NA
5,A,Control,S1,5,2,3.9759,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.718865263614667,NA
6,A,Control,S3,1,2,3.1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5757756563245823,NA
7,A,Control,S3,2,2,2.9836,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5394517972083605,NA
8,A,Control,S3,3,2,3.1659,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5724126708613583,NA
9,A,Control,S3,4,2,3.1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5780538077674116,NA
10,A,Control,S3,5,2,3.7294,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.674296665943444,NA
11,A,Control,S4,1,2,1.1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2071852173284154,NA
12,A,Control,S4,2,2,1.0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19027988717726188,NA
13,A,Control,S4,3,2,0.4036,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07297316843856223,NA
14,A,Control,S4,4,2,0.6873,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12426773703623345,NA
15,A,Control,S4,5,2,0.9618,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17389889346929918,NA
16,A,Control,S5,1,2,0.5371,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0971107253923483,NA
17,A,Control,S5,2,2,0.2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04297750777464381,NA
